index,field,class
1,BARCODE,character
2,RIN,numeric
3,BATCH,factor
4,AGEcalc,integer
5,GENDERc,factor
6,ETHc,factor
7,RACEc,factor
8,RACE4PFTs,factor
9,SMKc,factor
10,PYc,integer
11,XPY,factor
12,SMKQUITc,character
13,SMKQUITMOc,integer
14,SMKQUITYRc,integer
15,LENGTHSMKQUITMOc,integer
16,LENGTHSMKQUITYRc,integer
17,LENGTHSMKQUITUNCERTAINc,factor
18,SMK_COMMENTS,character
19,EXPOSUREc,character
20,HXCAc,factor
21,PFTDATEc,character
22,RATIOc,numeric
23,FEV1c,numeric
24,FEV1Pc,numeric
25,FVCc,numeric
26,FVCPc,numeric
27,PFTs,factor
28,R_LLN,numeric
29,COPD2LLN,factor
30,OBS_LLN,factor
31,COPD2_R7,factor
32,OBS_R7,factor
33,RvsLLN,numeric
34,R7vsLLN,numeric
35,PRXc,character
36,AllegroBronchodilatorc,factor
37,AllegroCorticosteroidsc,factor
38,AllegroAntiCholinergicsc,factor
39,PDXc,character
40,AllegroPDxOtherc,character
41,AllegroCOPDc,factor
42,AllegroEmphysemac,factor
43,AllegroPNAc,factor
44,AllegroAsthmac,factor
45,AllegroSarcoidc,factor
46,AllegroIPFc,factor
47,AllegroAtelectasisc,factor
48,Bronchitisc,factor
49,AllegroTBc,factor
50,COPD_EMc,factor
51,COPD_Bronchitisc,factor
52,COPD_EM_Bronchitisc,factor
53,ANATOMYc,character
54,FINALDXc,character
55,DROP,factor
56,OTHER_COMMENTS,character
57,FinalCaDXc,factor
58,CA_CELL_TYPE,factor
59,CA_SUB_CELL_TYPE,factor
